Well,DELTA,FLUO^O,STDEV%,STDEV
2- H3,0.03235199,1545.5,35.10038634,0.011464677
2- H4,0.398303778,3242.5,4.056589153,0.016154276
2- H5,0.024070645,5265.75,62.59514012,0.015339886
2- H6,0.034559743,5599,57.57800032,0.019960989
2- H7,0.020057869,5097.75,77.64021541,0.015738948
2- H8,0.008131791,7132.5,121.1355353,0.009701862
2- H9,0.332120232,1854.75,9.616965023,0.031961465
2- H10,0.305166753,1446.75,2.260705599,0.006895473
2- H11,0.080599144,350.5,46.12723959,0.037968541
2- H12,0.145093458,1070,21.6801143,0.031564661
3- A1,0.241899603,2584.75,3.723489949,0.009007819
3- A2,-0.065297989,5394.5,-44.50498726,0.028890876
3- A3,0.319477435,1473.5,9.274617474,0.029702495
3- A4,0.282342229,3569.25,4.950307294,0.013972349
3- A5,0.303982777,1161.25,3.438671663,0.010444792
3- A6,-0.057992436,5750.75,-45.5278076,0.025958857
3- A7,0.342966285,1505.25,6.10391534,0.020963687
3- A8,0.217150761,180.75,42.6057377,0.093551182
3- A9,0.196925329,341.5,31.65025152,0.063204604
3- A10,0.016944366,2655.75,88.51383921,0.015275017
3- A11,-0.076592755,6404,-26.18817698,0.019957662
3- A12,-0.08661613,4023.5,-57.49056235,0.048097286
3- B1,-0.024741298,5315,-98.13018064,0.024008087
3- B2,-0.055285799,5869.5,-51.41079615,0.027993671
3- B3,-0.025584795,7182,-83.20333476,0.021097012
3- B4,-0.030273197,5078.75,-38.27674118,0.011479401
3- B5,-0.044391408,3142.5,-22.15346546,0.009801403
3- B6,0.313943291,855.25,19.20208073,0.060682165
3- B7,0.337803488,2852.25,8.385145705,0.028384187
3- B8,0.407448624,3369.75,3.54154163,0.014431605
3- B9,-0.02836485,5394,-11.45622828,0.003247272
3- B10,-0.057732891,14926.5,-20.78015085,0.011979656
3- B11,0.323113208,530,3.820274301,0.012338885
3- B12,-0.043075533,3319.75,-65.33805313,0.027696188
3- C1,-0.043951575,7991.75,-46.15962748,0.02004688
3- C2,-0.063513617,13072,-12.34354527,0.007846155
3- C3,0.298970278,2136.5,11.84479481,0.035480038
3- C4,-0.02778759,8493,-32.54163396,0.008992807
3- C5,-0.005875167,8595.5,-190.6780519,0.011048881
3- C6,-0.026544453,4718.5,-44.94554904,0.011836195
3- C7,-0.034236489,10186.5,-41.33712883,0.013971128
3- C8,0.386977002,4511.25,8.057414392,0.031254895
3- C9,-0.002509603,4881.25,-707.914545,0.017368499
3- C10,-0.02803866,7320.25,-25.84582269,0.007218709
3- C11,-0.049257368,4309,-46.49227249,0.022677724
3- C12,-0.020884439,3770.75,-29.44444731,0.006160252
3- D1,0.40223144,3495.5,5.871664682,0.023639207
3- D2,0.01640159,503,178.5262621,0.029553471
3- D3,0.428850891,3450.5,6.061815304,0.026045173
3- D4,-0.014354067,4650.25,-49.90735523,0.007152561
3- D5,-0.000893605,4476.25,-1046.627064,0.009628409
3- D6,0.075739853,4274.5,13.54462876,0.010290893
3- D7,-0.019665234,2733.25,-60.38680836,0.011805046
3- D8,-0.013424937,10298,-39.80871463,0.005357299
3- D9,0.01196259,3448.25,58.59839506,0.007066823
3- D10,-0.015246751,5886.5,-46.45585769,0.007036552
3- D11,-0.02328172,6732.75,-27.17159647,0.006299363
3- D12,0.31446281,605,11.7259487,0.036901036
3- E1,0.369815392,2085.5,10.42809012,0.038616516
3- E2,0.412440191,3396.25,4.48766196,0.01851672
3- E3,0.396963664,3013.5,7.064578495,0.028079932
3- E4,0.307835373,4167,7.52685608,0.023206927
3- E5,-0.004499301,4111.75,-487.4759351,0.020206076
3- E6,0.001426897,4905.75,958.0594431,0.012952458
3- E7,0.432798078,1977.25,7.155211662,0.031018241
3- E8,-0.017747491,10015.5,-63.51896624,0.011246664
3- E9,0.007751572,5289.25,150.824019,0.01177611
3- E10,0.198336961,4479.75,6.097918259,0.012103202
3- E11,-0.013530361,6818,-55.67095546,0.007489274
3- E12,-0.011683303,4408,-72.97199489,0.00862145
3- F1,0.105082994,3870.75,2.725303066,0.002863685
3- F2,-0.030028965,4229.25,-9.944724121,0.002985924
3- F3,0.22309456,3598.25,8.967182479,0.020042336
3- F4,0.059347666,3058.25,27.29285469,0.016281592
3- F5,0.396610169,1770,11.95262434,0.047552962
3- F6,0.113938919,638.5,20.64047413,0.023528846
3- F7,0.397440216,2226.75,4.112451024,0.01635111
3- F8,-0.009152928,8795,-163.6203472,0.014318763
3- F9,0.005798919,3190.25,46.9380015,0.002732208
3- F10,0.039490961,4950.5,61.69208631,0.024575288
3- F11,-0.028190027,3183.75,-46.95135933,0.013089901
3- F12,-0.017341842,1802,-80.73440709,0.013713017
3- G1,-0.031542981,5999.75,-12.65742637,0.003979609
3- G2,-0.012146111,2799.25,-143.6082716,0.017339158
3- G3,0.403463445,3580.25,3.476123472,0.014032946
3- G4,0.423204237,3021,5.111273859,0.021649443
3- G5,-0.017872187,8309,-81.66620583,0.014507005
3- G6,0.308318177,2611.75,3.871324989,0.011942798
3- G7,0.365345144,2314.25,8.628921148,0.031555369
3- G8,-0.000138603,10822.25,-42093.95618,0.0095017
3- G9,0.388355291,2941.25,5.477461935,0.021305298
3- G10,0.257573572,3466,2.95945188,0.007621457
3- G11,0.082592593,3375,11.06329125,0.009142364
3- G12,-0.020463487,10421,-30.14621562,0.006167874
3- H1,-0.008159935,2451,-143.7025404,0.011253636
3- H2,0.353116464,2013.5,5.258721771,0.018568348
3- H3,-0.013163073,5716.75,-103.4398603,0.013165814
3- H4,-0.003332567,2175.5,-383.0472537,0.011794916
3- H5,-0.008542887,3628.75,-102.8298215,0.008870613
3- H6,-0.007576518,4982.5,-140.8852181,0.010541845
3- H7,-0.00618335,2789.75,-155.3520426,0.009386909
3- H8,-0.012051304,5808.5,-78.15001139,0.009373821
3- H9,0.388951754,2430.25,4.384091848,0.017069286
3- H10,-0.026686193,3072.75,-8.684166354,0.002317586
3- H11,0.767295597,39.75,8.335143843,0.063990408
3- H12,0.635164835,455,7.619018661,0.048492114
4- A1,0.280050083,599,4.479700489,0.012551473
4- A2,-0.017110587,2966,-102.086766,0.017824823
4- A3,0.031420765,366,84.99066616,0.026598747
4- A4,0.032225579,248.25,82.65151475,0.026906114
4- A5,-0.045705676,1991,-11.31611119,0.005181112
